,Date,Shift,Furnace_ID,Furnace_Type,Batch_Type,Production_Output (tons),Energy_Consumption (kWh),Furnace_Temperature (°C),Annealing_Time (hrs),Downtime (hrs),Ambient_Temperature (°C),Recycled_Content (%),Energy_Rating,Maintenance_Flag,Fuel_Type,Glass_Thickness (mm),Production_Target (tons),Defects_Percentage (%),Melting_Time (hrs),Cooling_Energy (kWh)
0,01-01-2023 0.00,Morning,Furnace_1,Electric,Borosilicate,107.35,3288.96,1468.9,30.8,4.19,16.7,56.0,B,No,Natural Gas,9.79,57.77,5.55,21.9,258.78
1,01-01-2023 1.00,Afternoon,Furnace_6,Hybrid,Soda-lime,43.51,4867.96,1445.2,3.68,4.74,19.4,39.0,A,Yes,Electricity,3.45,126.89,0.48,14.0,707.82
2,01-01-2023 2.00,Night,Furnace_9,Gas,Lead,37.79,3347.15,1486.8,2.48,2.88,20.6,61.0,B,No,Electricity,8.35,173.87,2.54,11.9,743.58
3,01-01-2023 3.00,Afternoon,Furnace_9,Gas,Soda-lime,77.12,2829.63,1626.8,1.9,2.41,22.6,51.0,A,No,Natural Gas,10.0,108.02,5.96,11.1,421.0
4,01-01-2023 4.00,Morning,Furnace_6,Electric,Soda-lime,169.49,3935.36,1593.9,3.81,43.4,31.4,39.0,B,Yes,Natural Gas,8.6,77.6,4.84,12.2,275.03
5,01-01-2023 5.00,Afternoon,Furnace_2,Hybrid,Borosilicate,106.57,3319.2,1561.9,38.3,0.86,18.1,29.0,B,Yes,Electricity,3.84,76.09,8.57,15.2,428.82
6,01-01-2023 6.00,Night,Furnace_7,Gas,Lead,183.23,2554.46,1593.7,1.75,4.61,27.5,40.0,C,No,Electricity,14.82,78.05,2.41,20.0,643.72
7,01-01-2023 7.00,Morning,Furnace_2,Gas,Soda-lime,52.96,2912.66,1613.9,1.96,4.56,29.0,60.0,B,Yes,Electricity,6.06,44.92,2.66,14.7,923.52
8,01-01-2023 8.00,Afternoon,Furnace_9,Gas,Lead,67.66,4441.51,1552.6,1.23,2.59,32.4,66.0,A,No,Natural Gas,11.19,55.93,4.95,13.5,653.15
9,01-01-2023 9.00,Night,Furnace_1,Electric,Borosilicate,131.68,2913.91,1433.5,2.08,3.12,22.4,41.0,A,No,Natural Gas,3.09,177.69,6.53,11.9,347.93
